sat,target,time,az,el,R,sat_x,sat_y,sat_z,FoR
GEO-2,1,190.0,3.0671027462073086,-0.5346515451757693,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,200.0,2.3162472428794327,0.3006071801430137,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,200.0,3.065245459612812,-0.5319156098623681,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,210.0,2.313429261790082,0.30425682158346307,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,210.0,3.06220417863458,-0.5320126354582771,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,220.0,2.31133349627125,0.303904275819864,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,220.0,3.060705560930122,-0.531690797088133,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,230.0,2.3093936860762723,0.3047291162934386,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,230.0,3.0575949977985877,-0.531885188587097,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,240.0,2.307784016938493,0.30707045070689276,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,240.0,3.05705591302883,-0.5286960453895777,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,250.0,2.3084799921485057,0.30823162749463723,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,250.0,3.0533976279871418,-0.5264687415075512,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,260.0,2.3029778653336486,0.31010602944536814,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,260.0,3.0505821447700714,-0.5269528613550883,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,270.0,2.3000873407463374,0.3112419977926961,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,270.0,3.049041057684395,-0.527210835985626,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,280.0,2.3017944680301547,0.31229345524845487,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,280.0,3.0468876574750094,-0.5258946157463991,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,290.0,2.2981640484550243,0.3125294146161395,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,290.0,3.0451915661982487,-0.5232272393744584,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,300.0,2.2956634208909255,0.313288768012277,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,300.0,3.0415439513081424,-0.5242212229684003,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,310.0,2.2938970854523197,0.3148697878078595,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,310.0,3.0403623947614227,-0.5203689277973415,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,320.0,2.2918727847745495,0.31661622491076974,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,320.0,3.0368105422329106,-0.5184027298413286,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,330.0,2.290861091630958,0.31764917917761365,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,330.0,3.033892469570844,-0.5200488615185176,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,340.0,2.28937759160255,0.3178233316402332,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,340.0,3.0327475883935655,-0.5195323669651922,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,350.0,2.2881425158459407,0.3183465705772904,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,350.0,3.031676395332347,-0.5169640062397723,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,360.0,2.286922014343506,0.3188678860134619,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,360.0,3.027938569679019,-0.5162417356716289,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,370.0,2.2837227657173664,0.32128228144446996,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,370.0,3.024746158273099,-0.5137413699635215,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,380.0,2.283383878042896,0.3228831446392448,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,380.0,3.0225292994170334,-0.5139953456081167,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,390.0,2.2803007535209927,0.3229850298654171,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,390.0,3.0180504175558265,-0.5104811465481288,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,400.0,2.2793784455382458,0.32385754033534364,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,400.0,3.018679968987077,-0.5091423383544674,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,410.0,2.278396124492283,0.3240131722353372,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,410.0,3.01560721339402,-0.5080175237345456,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,420.0,2.2758925447095546,0.3269409772627303,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,420.0,3.0133776795434177,-0.5088639627918041,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,430.0,2.275547366012851,0.32549359866327415,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,430.0,3.0115888468469,-0.5045959185656936,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,440.0,2.273016527783058,0.32671150185040776,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,440.0,3.0081487830818383,-0.5041291537723418,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,450.0,2.274387276653416,0.329152863987752,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,450.0,3.0053724591977256,-0.501779979299302,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,460.0,2.269619602261065,0.32951471463315113,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,460.0,3.0041446855194964,-0.5009838723835498,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,470.0,2.26977987864668,0.33054110838655953,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,470.0,3.0028775716979283,-0.49902901224795126,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,480.0,2.268256530733709,0.3321690048824587,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,480.0,2.9967001972866156,-0.497141985144065,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,490.0,2.267731725625817,0.33237927199698325,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,490.0,2.9954099593841312,-0.4947159545526639,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,500.0,2.2676001850107568,0.33042491529648826,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,500.0,2.991988969442835,-0.4947347936147832,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,510.0,2.267630470292898,0.3329595495129638,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,510.0,2.991757634451821,-0.49301878327430804,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,520.0,2.266160928421798,0.33386837430105476,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,520.0,2.9897246583041843,-0.492118092406644,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,530.0,2.265748334736746,0.33549051398297636,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,530.0,2.9859244697065486,-0.4871697154872928,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,540.0,2.264471339174832,0.3342537748035243,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,540.0,2.9831322927765593,-0.4871406167212307,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
GEO-1,1,550.0,2.263545761826198,0.3347385693535409,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894,30
GEO-2,1,550.0,2.981087793991746,-0.4849887266968208,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383,30
