time_s,satellite,target_id,true_az_rad,true_el_rad,meas_az_rad,meas_el_rad,kf_az_rad,kf_el_rad,kf_az_rate_rad_s,kf_el_rate_rad_s,kf_az_acc_rad_s2,kf_el_acc_rad_s2,innov_az_rad,innov_el_rad,kf_var_az,kf_var_el
260.0,GEO-1,2,2.30239328913054,0.3092029677834317,2.3035936912495276,0.30860871872712015,2.3035936912495276,0.30860871872712015,-0.00016569699593720343,0.0001250486940769069,0.0,0.0,0.0,0.0,2.4991387008355657e-07,2.4991387008355657e-07
260.0,GEO-2,2,3.049613554299509,-0.5272859201906495,3.0497141146830002,-0.5266016786056549,3.0497141146830002,-0.5266016786056549,-0.00024101748363332122,0.00028461153398551264,0.0,0.0,0.0,0.0,2.4991387008355657e-07,2.4991387008355657e-07
260.0,GEO-3,2,2.8940083835099752,-0.13467258337081306,2.8935785641407827,-0.1364638141936541,2.8935785641407827,-0.1364638141936541,-0.0004398081941894283,-0.0002968707464243464,0.0,0.0,0.0,0.0,2.4991387008355657e-07,2.4991387008355657e-07
270.0,GEO-1,1,2.3020557374985753,0.3103427240850455,2.30152448183964,0.31110571935269193,2.30152448183964,0.31110571935269193,-8.015322899659338e-05,0.0001829880058021094,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
270.0,GEO-2,1,3.049199305299666,-0.5262431545139019,3.0491147726423726,-0.5260133653299379,3.0491147726423726,-0.5260133653299379,-0.00028335008400293127,0.00022782333600134262,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
270.0,GEO-3,1,2.8936298930851803,-0.133404579116193,2.892549491278275,-0.13326135620537746,2.892549491278275,-0.13326135620537746,-0.00034355151692877506,0.0002793442002104768,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
270.0,GEO-1,2,2.2991747530757842,0.3097766980577459,2.2999029200657026,0.3098131460782365,2.2999029200657026,0.3098131460782365,-0.0003690771183824992,0.00012044273511163661,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
270.0,GEO-2,2,3.0457808524269203,-0.5268130524814421,3.0476888670172406,-0.5270208460597026,3.0476888670172406,-0.5270208460597026,-0.0002025247665759622,-4.191674540476864e-05,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
270.0,GEO-3,2,2.8904854291124664,-0.13361710357004086,2.889444078876129,-0.13523476281238694,2.889444078876129,-0.13523476281238694,-0.0004134485264653875,0.00012290513812671656,0.0,0.0,0.0,0.0,2.499138674915335e-07,2.499138674915335e-07
280.0,GEO-1,1,2.3001160489913928,0.3115281005646887,2.3012680548825855,0.3114690823208922,2.3012680548825855,0.3114690823208922,-2.56426957054412e-05,3.6336296820027594e-05,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
280.0,GEO-2,1,3.0468418496392298,-0.5251491723576089,3.047853471419092,-0.5246915034388369,3.047853471419092,-0.5246915034388369,-0.00012613012232804978,0.00013218618911010617,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
280.0,GEO-3,1,2.8914719029812477,-0.13184304158474078,2.8930969872718237,-0.13057693422197966,2.8930969872718237,-0.13057693422197966,5.474959935485302e-05,0.00026844219833978,0.0,0.0,0.0,0.0,2.4991386561492843e-07,2.4991386561492843e-07
