time_s,satellite,target_id,meas_az_rad,meas_el_rad,true_az_rad,true_el_rad,meas_sigma_rad,sat_x_km,sat_y_km,sat_z_km
240.0,GEO-2,1,3.0553803628779197,-0.5285809795464105,3.056147511103737,-0.5293431481181239,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
240.0,GEO-3,1,2.9016361104491706,-0.1374326428564028,2.9000533048371455,-0.13803663390726809,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
240.0,GEO-1,2,2.309476606745143,0.3071282752921638,2.3089783258353,0.3079670421461381,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
240.0,GEO-2,2,3.0586947696703435,-0.5267401592082008,3.057160475825028,-0.5280839655285976,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
240.0,GEO-3,2,2.9004720821561407,-0.13678613878470156,2.90100291464331,-0.13673976811550767,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
250.0,GEO-1,1,2.305026603702699,0.3093801527449433,2.3060226556261636,0.30791294585955936,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
250.0,GEO-2,1,3.0542603160501036,-0.5284354408137276,3.0538539618810736,-0.5283403761445672,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
250.0,GEO-3,1,2.898329176951709,-0.13606150619620744,2.8979222769512867,-0.13650212848657595,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
250.0,GEO-1,2,2.3052506612088997,0.3073582317863511,2.3056621579123022,0.308599796972094,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
250.0,GEO-2,2,3.0521242895193335,-0.52944779394551,3.0534080348880486,-0.5277094274323986,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
250.0,GEO-3,2,2.897976646082677,-0.13349510672941065,2.8975153930621804,-0.13571364856804466,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
260.0,GEO-1,1,2.302326014129606,0.30927583929467084,2.304025083427242,0.3091375518358459,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
260.0,GEO-2,1,3.051948273482402,-0.5282915986899513,3.051537289539796,-0.5273069730126899,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
260.0,GEO-3,1,2.895985006447563,-0.13605479820748223,2.8957805806454955,-0.13495786130856385,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
260.0,GEO-1,2,2.3035936912495276,0.30860871872712015,2.30239328913054,0.3092029677834317,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
260.0,GEO-2,2,3.0497141146830002,-0.5266016786056549,3.049613554299509,-0.5272859201906495,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
260.0,GEO-3,2,2.8935785641407827,-0.1364638141936541,2.8940083835099752,-0.13467258337081306,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
270.0,GEO-1,1,2.30152448183964,0.31110571935269193,2.3020557374985753,0.3103427240850455,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
270.0,GEO-2,1,3.0491147726423726,-0.5260133653299379,3.049199305299666,-0.5262431545139019,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
270.0,GEO-3,1,2.892549491278275,-0.13326135620537746,2.8936298930851803,-0.133404579116193,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
270.0,GEO-1,2,2.2999029200657026,0.3098131460782365,2.2991747530757842,0.3097766980577459,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
270.0,GEO-2,2,3.0476888670172406,-0.5270208460597026,3.0457808524269203,-0.5268130524814421,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
270.0,GEO-3,2,2.889444078876129,-0.13523476281238694,2.8904854291124664,-0.13361710357004086,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
280.0,GEO-1,1,2.3012680548825855,0.3114690823208922,2.3001160489913928,0.3115281005646887,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
280.0,GEO-2,1,3.047853471419092,-0.5246915034388369,3.0468418496392298,-0.5251491723576089,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
280.0,GEO-3,1,2.8930969872718237,-0.13057693422197966,2.8914719029812477,-0.13184304158474078,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
280.0,GEO-1,2,2.2956319289758107,0.3105950624119251,2.2960094835379787,0.3103211775110109,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
280.0,GEO-2,2,3.0429992028442023,-0.5275265894942183,3.0419138308515294,-0.5262905143501628,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
280.0,GEO-3,2,2.8884010014768617,-0.13133577499104054,2.886950105501801,-0.13254776833335274,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
290.0,GEO-1,1,2.2991903369084983,0.3124924112181777,2.2982074110451864,0.3126933433790947,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
290.0,GEO-2,1,3.0447689307444503,-0.5251425537965204,3.0444667897047073,-0.5240253145556182,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
290.0,GEO-3,1,2.8893662623698284,-0.1308613999872294,2.8893083081959934,-0.13027402046578995,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
290.0,GEO-1,2,2.292986873923072,0.3103420140753847,2.2929003099577296,0.31083664033818564,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
290.0,GEO-2,2,3.038300269698191,-0.52453874730801,3.038016466186272,-0.5257180794843449,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
290.0,GEO-3,2,2.8820964100291766,-0.1305397731275414,2.883406013213091,-0.1314651640030653,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
300.0,GEO-1,1,2.29433936470117,0.3116771052225069,2.296331177270688,0.3138381385730341,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
300.0,GEO-2,1,3.0419566479595224,-0.5228651763405033,3.042076016635921,-0.5228719057221424,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
300.0,GEO-3,1,2.8875836141755227,-0.13034568396536256,2.8871408133218766,-0.1286982986951951,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
300.0,GEO-1,2,2.28979001465722,0.3114498880330961,2.289849953299965,0.31132336333586846,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
300.0,GEO-2,2,3.0353480065031384,-0.5251994467861454,3.034092801519967,-0.5250956072006387,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
300.0,GEO-3,2,2.880385761711973,-0.1313473285846271,2.8798567699636513,-0.13036990303429857,0.0008660254037844387,40546.10500375705,-11190.18001510833,5166.054999104973
310.0,GEO-1,1,2.2943011057014115,0.31451666055192745,2.2944886603352113,0.3149621958730659,0.0008660254037844387,29462.200876987186,-28481.320264708153,-10802.221968797894
310.0,GEO-2,1,3.0403747471954787,-0.5226781265640515,3.0396714428168172,-0.5216893072867083,0.0008660254037844387,37611.52508045379,-5394.229481126549,18766.202424234383
